"","X","text","favoriteCount","created","id","retweetCount","subject","url","source","categories"
"11618",11618,"The Catholic University of America Wikipedia article edited anonymously from US Senate http://t.co/0Xuzg5lQle",0,"2014-11-07 16:01:18",530751857765806080,6,"The Catholic University of America","http://t.co/0Xuzg5lQle","US Senate",NA
"11619",11619,"The Catholic University of America Wikipedia article edited anonymously from US Senate http://t.co/UdYw2eCPiO",3,"2014-11-07 15:59:09",530751318017597440,5,"The Catholic University of America","http://t.co/UdYw2eCPiO","US Senate",NA
"11620",11620,"List of freshman class members of the 114th United States Congres Wikipedia article edited anonymously from US Senate http://t.co/8Fj88yVliD",0,"2014-11-07 14:56:18",530735500424773632,7,"List of freshman class members of the 114th United States Congres","http://t.co/8Fj88yVliD","US Senate",NA
"11621",11621,"No Taxpayer Funding for Abortion Act Wikipedia article edited anonymously from US House of Representatives http://t.co/0L5PDkcPww",21,"2014-11-06 16:14:05",530392688357412864,40,"No Taxpayer Funding for Abortion Act","http://t.co/0L5PDkcPww","US House of Representatives","112th United States Congress"
"11622",11622,"No Taxpayer Funding for Abortion Act Wikipedia article edited anonymously from US House of Representatives http://t.co/0L5PDkcPww",21,"2014-11-06 16:14:05",530392688357412864,40,"No Taxpayer Funding for Abortion Act","http://t.co/0L5PDkcPww","US House of Representatives","Rape in the United States"
"11623",11623,"No Taxpayer Funding for Abortion Act Wikipedia article edited anonymously from US House of Representatives http://t.co/0L5PDkcPww",21,"2014-11-06 16:14:05",530392688357412864,40,"No Taxpayer Funding for Abortion Act","http://t.co/0L5PDkcPww","US House of Representatives","United States proposed federal abortion legislation"
"11624",11624,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","1961 births"
"11625",11625,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Arizona Coyotes coaches"
"11626",11626,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Art Ross Trophy winners"
"11627",11627,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Businesspeople from Ontario"
"11628",11628,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian businesspeople in retailing"
"11629",11629,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian expatriate sportspeople in the United States"
"11630",11630,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian ice hockey centres"
"11631",11631,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian ice hockey coaches"
"11632",11632,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian manufacturing businesspeople"
"11633",11633,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian people of British descent"
"11634",11634,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian people of Polish descent"
"11635",11635,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian people of Ukrainian descent"
"11636",11636,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Canadian restaurateurs"
"11637",11637,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Companions of the Order of Canada"
"11638",11638,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Conn Smythe Trophy winners"
"11639",11639,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Edmonton Oilers (WHA) players"
"11640",11640,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Edmonton Oilers executives"
"11641",11641,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Edmonton Oilers players"
"11642",11642,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Gretzky family"
"11643",11643,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Grey Cup champions"
"11644",11644,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Hart Memorial Trophy winners"
"11645",11645,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Hockey Hall of Fame inductees"
"11646",11646,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Ice hockey people from Ontario"
"11647",11647,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Ice hockey players at the 1998 Winter Olympics"
"11648",11648,"Wayne Gretzky Wikipedia article edited anonymously from US Senate http://t.co/qeAM8QuZZc",24,"2014-11-05 18:46:02",530068537918763008,62,"Wayne Gretzky","http://t.co/qeAM8QuZZc","US Senate","Indianapolis Racers players"
